hostname,name,virtualpath,creator,comment,accountrunlevel,accountlogontype,execprogrampath,execarguments,signatureexists,signatureverified,description,certificatesubject,certificateissuer
NT0009VLW,AD RMS Rights Policy Template Management (Manual),\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Manual),Microsoft Corporation,Updates the AD RMS rights policy templates for the user. This job provides a credential prompt if authentication to the template distribution web service on the server fails.,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,,,,,,,
NT0009VLW,EduPrintProv,\Microsoft\Windows\Printing\EduPrintProv,,,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,%windir%\system32\eduprintprov.exe,,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,VerifyWinRE,\Microsoft\Windows\RecoveryEnvironment\VerifyWinRE,Microsoft Corporation,Validates the Windows Recovery Environment.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_GROUP,,,,,,,
NT0009VLW,WinSAT,\Microsoft\Windows\Maintenance\WinSAT,Microsoft,Measures a system's performance and capabilities,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_GROUP,,,,,,,
NT0009VLW,HiveUploadTask,\Microsoft\Windows\User Profile Service\HiveUploadTask,Microsoft Corporation,This task will automatically upload a roaming user profile's registry hive to its network location.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,File History (maintenance mode),\Microsoft\Windows\FileHistory\File History (maintenance mode),Microsoft Corporation,Protects user files from accidental loss by copying them to a backup location when the system is unattended,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,Registration,\Microsoft\Windows\PushToInstall\Registration,,,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,%windir%\system32\sc.exe,start pushtoinstall registration,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,AikCertEnrollTask,\Microsoft\Windows\CertificateServicesClient\AikCertEnrollTask,Microsoft Corporation,This task enrolls a certificate for Attestation Identity Key.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,MapsToastTask,\Microsoft\Windows\Maps\MapsToastTask,Microsoft Corporation,This task shows various Map related toasts,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,,,,,,,
NT0009VLW,Windows Defender Verification,\Microsoft\Windows\Windows Defender\Windows Defender Verification,,Periodic verification task.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1810.5-0\MpCmdRun.exe,-IdleTask -TaskName WdVerification,true,true,The file is signed and the signature was verified.,Microsoft Corporation,Microsoft Code Signing PCA
NT0009VLW,HybridDriveCacheRebalance,\Microsoft\Windows\Sysmain\HybridDriveCacheRebalance,Microsoft Corporation,Hybrid Drive cache rebalance maintenance task,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,ReconcileLanguageResources,\Microsoft\Windows\LanguageComponentsInstaller\ReconcileLanguageResources,Microsoft Corporation,Install language components that match the user's language list.,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,,,,,,,
NT0009VLW,FamilySafetyRefreshTask,\Microsoft\Windows\Shell\FamilySafetyRefreshTask,Microsoft Corporation,Synchronizes the latest settings with the Microsoft family features service.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,SR,\Microsoft\Windows\SystemRestore\SR,Microsoft Corporation,This task creates regular system protection points.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,%windir%\system32\srtasks.exe,ExecuteScheduledSPPCreation,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,ScanForUpdates,\Microsoft\Windows\InstallService\ScanForUpdates,,,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,.NET Framework NGEN v4.0.30319,\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319,,,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,MNO Metadata Parser,\Microsoft\Windows\Mobile Broadband Accounts\MNO Metadata Parser,Microsoft,Mobile Broadband Account Experience Metadata Parser,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,%SystemRoot%\System32\MbaeParserTask.exe,,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,RegisterDeviceProtectionStateChanged,\Microsoft\Windows\DeviceDirectoryClient\RegisterDeviceProtectionStateChanged,,,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,LocateCommandUserSession,\Microsoft\Windows\DeviceDirectoryClient\LocateCommandUserSession,,,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,,,,,,,
NT0009VLW,Data Integrity Scan for Crash Recovery,\Microsoft\Windows\Data Integrity Scan\Data Integrity Scan for Crash Recovery,Microsoft Corporation,Scans fault-tolerant volumes for fast crash recovery,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,CreateObjectTask,\Microsoft\Windows\Shell\CreateObjectTask,Microsoft Corporation,Provides support for shell components that access system data,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,IntegrityCheck,\Microsoft\Windows\DeviceDirectoryClient\IntegrityCheck,,,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,BackgroundUploadTask,\Microsoft\Windows\SettingSync\BackgroundUploadTask,,,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,,,,,,,
NT0009VLW,ScanForUpdatesAsUser,\Microsoft\Windows\InstallService\ScanForUpdatesAsUser,,,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,,,,,,,
NT0009VLW,Notifications,\Microsoft\Windows\Location\Notifications,,Location Notification,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,%windir%\System32\LocationNotificationWindows.exe,,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,MsCtfMonitor,\Microsoft\Windows\TextServicesFramework\MsCtfMonitor,,TextServicesFramework monitor task,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,,,,,,,
NT0009VLW,Microsoft-Windows-DiskDiagnosticResolver,\Microsoft\Windows\DiskDiagnostic\Microsoft-Windows-DiskDiagnosticResolver,Microsoft Corporation,The Microsoft-Windows-DiskDiagnosticResolver warns users about faults reported by hard disks that support the Self Monitoring and Reporting Technology (S.M.A.R.T.) standard. This task is triggered automatically by the Diagnostic Policy Service when a S.M.A.R.T. fault is detected.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_GROUP,%windir%\system32\DFDWiz.exe,,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,Sysprep Generalize Drivers,\Microsoft\Windows\Plug and Play\Sysprep Generalize Drivers,Microsoft Corporation,Generalize driver state in order to prepare the system to be bootable on any hardware configuration.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,%SystemRoot%\System32\drvinst.exe,6,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,RegIdleBackup,\Microsoft\Windows\Registry\RegIdleBackup,Microsoft Corporation,Registry Idle Backup Task,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,Device Install Group Policy,\Microsoft\Windows\Plug and Play\Device Install Group Policy,Microsoft Corporation,Device Installation Group Policy Change Handler,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,DmClient,\Microsoft\Windows\Feedback\Siuf\DmClient,Microsoft Windows Feedback,Update SIUF strings,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,%windir%\system32\dmclient.exe,,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,Recovery-Check,\Microsoft\Windows\Workplace Join\Recovery-Check,,Performs recovery check.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_GROUP,%SystemRoot%\System32\dsregcmd.exe,/checkrecovery,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,DmClientOnScenarioDownload,\Microsoft\Windows\Feedback\Siuf\DmClientOnScenarioDownload,Microsoft Windows Feedback,Update SIUF strings,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,%windir%\system32\dmclient.exe,utcwnf,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,Tpm-Maintenance,\Microsoft\Windows\TPM\Tpm-Maintenance,Microsoft Corporation,This task supports the Trusted Platform Module (TPM) by performing background actions on behalf of the OS.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,Storage Tiers Management Initialization,\Microsoft\Windows\Storage Tiers Management\Storage Tiers Management Initialization,Microsoft Corporation,Initializes the Storage Tiers Management service when the first tiered storage space is detected on the system. Do not remove or modify this task.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,WindowsActionDialog,\Microsoft\Windows\Location\WindowsActionDialog,,Location Notification,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,%windir%\System32\WindowsActionDialog.exe,,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,VerifiedPublisherCertStoreCheck,\Microsoft\Windows\AppID\VerifiedPublisherCertStoreCheck,Microsoft Corporation,Inspects the AppID certificate cache for invalid or revoked certificates.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,%windir%\system32\appidcertstorecheck.exe,,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,LoginCheck,\Microsoft\Windows\PushToInstall\LoginCheck,,,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,%windir%\system32\sc.exe,start pushtoinstall login,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,Windows Defender Scheduled Scan,\Microsoft\Windows\Windows Defender\Windows Defender Scheduled Scan,,Periodic scan task.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1810.5-0\MpCmdRun.exe,Scan -ScheduleJob -ScanTrigger 55,true,true,The file is signed and the signature was verified.,Microsoft Corporation,Microsoft Code Signing PCA
NT0009VLW,BitLocker MDM policy Refresh,\Microsoft\Windows\BitLocker\BitLocker MDM policy Refresh,,,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,,,,,,,
NT0009VLW,EDP App Launch Task,\Microsoft\Windows\EDP\EDP App Launch Task,,,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,,,,,,,
NT0009VLW,RegisterDeviceSettingChange,\Microsoft\Windows\DeviceDirectoryClient\RegisterDeviceSettingChange,,,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,BgTaskRegistrationMaintenanceTask,\Microsoft\Windows\BrokerInfrastructure\BgTaskRegistrationMaintenanceTask,Microsoft Corporation,Maintains registrations for background tasks for Universal Windows Platform applications.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,ExploitGuard MDM policy Refresh,\Microsoft\Windows\ExploitGuard\ExploitGuard MDM policy Refresh,Microsoft Corporation,Task for applying changes to the machine's Exploit Protection settings.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,NotificationTask,\Microsoft\Windows\WwanSvc\NotificationTask,Microsoft Corporation,Background task for performing per user and web interactions,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,%SystemRoot%\System32\WiFiTask.exe,wwan,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,FODCleanupTask,\Microsoft\Windows\HelloFace\FODCleanupTask,,,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,%WinDir%\System32\WinBioPlugIns\FaceFodUninstaller.exe,,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,Diagnostics,\Microsoft\Windows\DiskFootprint\Diagnostics,,,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,%windir%\system32\disksnapshot.exe,-z,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,QueueReporting,\Microsoft\Windows\Windows Error Reporting\QueueReporting,Microsoft Corporation,Windows Error Reporting task to process queued reports.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,%windir%\system32\wermgr.exe,-upload,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,StartComponentCleanup,\Microsoft\Windows\Servicing\StartComponentCleanup,,,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,Maintenance Install,\Microsoft\Windows\UpdateOrchestrator\Maintenance Install,,,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,%systemroot%\system32\usoclient.exe,StartInstall,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,RegisterDeviceLocationRightsChange,\Microsoft\Windows\DeviceDirectoryClient\RegisterDeviceLocationRightsChange,,,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,StorageCardEncryption Task,\Microsoft\Windows\EDP\StorageCardEncryption Task,,,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,,,,,,,
NT0009VLW,MapsUpdateTask,\Microsoft\Windows\Maps\MapsUpdateTask,Microsoft Corporation,This task checks for updates to maps which you have downloaded for offline use. Disabling this task will prevent Windows from notifying you of updated maps.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,ProactiveScan,\Microsoft\Windows\Chkdsk\ProactiveScan,Microsoft Corporation,NTFS Volume Health Scan,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,USO_Broker_Display,\Microsoft\Windows\UpdateOrchestrator\USO_Broker_Display,,,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,%systemroot%\system32\MusNotification.exe,Display,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,PerformRemediation,\Microsoft\Windows\WaaSMedic\PerformRemediation,Microsoft Corporation,Helps recover update-related services to the supported configuration.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,ResPriStaticDbSync,\Microsoft\Windows\Sysmain\ResPriStaticDbSync,Microsoft Corporation,Reserved Priority static db sync maintenance task,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,SvcRestartTaskNetwork,\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTaskNetwork,Microsoft Corporation,This task restarts the Software Protection Platform service when a new network is detected,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,Work Folders Logon Synchronization,\Microsoft\Windows\Work Folders\Work Folders Logon Synchronization,Microsoft Corporation,This task initiates synchronization of Work Folders partnerships when a user logs onto the system.,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,,,,,,,
NT0009VLW,Device Install Reboot Required,\Microsoft\Windows\Plug and Play\Device Install Reboot Required,Microsoft Corporation,Notifies the user that Windows needs to be restarted to finish setting up a device.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_GROUP,,,,,,,
NT0009VLW,EDP Policy Manager,\Microsoft\Windows\AppID\EDP Policy Manager,Microsoft Corporation,This task performs steps necessary to configure Windows Information Protection.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,CreateObjectTask,\Microsoft\Windows\CloudExperienceHost\CreateObjectTask,,,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,Device,\Microsoft\Windows\Device Information\Device,,,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,%windir%\system32\devicecensus.exe,,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,AnalyzeSystem,\Microsoft\Windows\Power Efficiency Diagnostics\AnalyzeSystem,Microsoft Corporation,This task analyzes the system looking for conditions that may cause high energy use.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,HeadsetButtonPress,\Microsoft\Windows\Speech\HeadsetButtonPress,,,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,%windir%\system32\speech_onecore\common\SpeechRuntime.exe,StartedFromTask,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,SvcRestartTaskLogon,\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTaskLogon,Microsoft Corporation,This task restarts the Software Protection Platform service when user logon occurs,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,,,,,,,
NT0009VLW,SpeechModelDownloadTask,\Microsoft\Windows\Speech\SpeechModelDownloadTask,,,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,%windir%\system32\speech_onecore\common\SpeechModelDownload.exe,,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,Reboot,\Microsoft\Windows\UpdateOrchestrator\Reboot,,,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,%systemroot%\system32\MusNotification.exe,RebootDialog,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,DsSvcCleanup,\Microsoft\Windows\ApplicationData\DsSvcCleanup,Microsoft Corporation,Performs maintenance for the Data Sharing Service.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,%windir%\system32\dstokenclean.exe,,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,HandleCommand,\Microsoft\Windows\DeviceDirectoryClient\HandleCommand,,,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,UPnPHostConfig,\Microsoft\Windows\UPnP\UPnPHostConfig,Microsoft,Set UPnPHost service to Auto-Start,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,sc.exe,config upnphost start= auto,,,,,
NT0009VLW,SystemSoundsService,\Microsoft\Windows\Multimedia\SystemSoundsService,,System Sounds User Mode Agent,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,,,,,,,
NT0009VLW,.NET Framework NGEN v4.0.30319 64,\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64,,,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,UpdateLibrary,\Microsoft\Windows\Windows Media Sharing\UpdateLibrary,Microsoft Corporation,This task updates the cached list of folders and the security permissions on any new files in a userâ€™s shared media library.,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,"""%ProgramFiles%\Windows Media Player\wmpnscfg.exe""",,,,,,
NT0009VLW,Windows Defender Cache Maintenance,\Microsoft\Windows\Windows Defender\Windows Defender Cache Maintenance,,Periodic maintenance task.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1810.5-0\MpCmdRun.exe,-IdleTask -TaskName WdCacheMaintenance,true,true,The file is signed and the signature was verified.,Microsoft Corporation,Microsoft Code Signing PCA
NT0009VLW,LicenseAcquisition,\Microsoft\Windows\Subscription\LicenseAcquisition,Microsoft Corporation,Susbscription license acquisition,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_GROUP,%SystemRoot%\system32\ClipRenew.exe,,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,CryptoPolicyTask,\Microsoft\Windows\CertificateServicesClient\CryptoPolicyTask,Microsoft Corporation,This task synchronizes cryptographic policy.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,Uninstallation,\Microsoft\Windows\LanguageComponentsInstaller\Uninstallation,Microsoft Corporation,Uninstall language components that are not in any user's language list.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,UninstallDeviceTask,\Microsoft\Windows\Bluetooth\UninstallDeviceTask,Microsoft,Uninstalls the PnP device associated with the specified Bluetooth service ID,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,BthUdTask.exe,$(Arg0),,,,,
NT0009VLW,Windows Defender Cleanup,\Microsoft\Windows\Windows Defender\Windows Defender Cleanup,,Periodic cleanup task.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.1810.5-0\MpCmdRun.exe,-IdleTask -TaskName WdCleanup,true,true,The file is signed and the signature was verified.,Microsoft Corporation,Microsoft Code Signing PCA
NT0009VLW,RunUpdateNotificationMgr,\Microsoft\Windows\UNP\RunUpdateNotificationMgr,,,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,%windir%\System32\UNP\UpdateNotificationMgr.exe,,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,.NET Framework NGEN v4.0.30319 64 Critical,\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64 Critical,,,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,.NET Framework NGEN v4.0.30319 Critical,\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 Critical,,,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,WiFiTask,\Microsoft\Windows\WCM\WiFiTask,Microsoft Corporation,Background task for performing per user and web interactions,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,%SystemRoot%\System32\WiFiTask.exe,,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NT0009VLW,NetworkStateChangeTask,\Microsoft\Windows\SettingSync\NetworkStateChangeTask,,,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,,,,,,,
NT0009VLW,Tpm-HASCertRetr,\Microsoft\Windows\TPM\Tpm-HASCertRetr,Microsoft Corporation,This task requests a Health Attestation Certificate.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,RegisterDevicePeriodic24,\Microsoft\Windows\DeviceDirectoryClient\RegisterDevicePeriodic24,,,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,HybridDriveCachePrepopulate,\Microsoft\Windows\Sysmain\HybridDriveCachePrepopulate,Microsoft Corporation,Hybrid Drive cache prepopulation task,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NT0009VLW,RunFullMemoryDiagnostic,\Microsoft\Windows\MemoryDiagnostic\RunFullMemoryDiagnostic,Microsoft Corporation,Detects and mitigates problems in physical memory (RAM).,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_GROUP,,,,,,,
