hostname,keypath,type,valuename,username,path,text
ET715MSY,Wow6432Node\Classes\CLSID\{023A36FC-E9D5-419E-824A-CDC66A116E84}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Wow6432Node\Classes\CLSID\{023A36FC-E9D5-419E-824A-CDC66A116E84}\InProcServer32\,C:\Windows\SysWOW64\AuthFWGP.dll
ET715MSY,Classes\CLSID\{05238C14-A6E1-11D0-9A84-00C04FD8DBF7}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{05238C14-A6E1-11D0-9A84-00C04FD8DBF7}\InProcServer32\,%SystemRoot%\system32\els.dll
ET715MSY,Classes\CLSID\{03837547-098B-11D8-9414-505054503030}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{03837547-098B-11D8-9414-505054503030}\InProcServer32\,%SystemRoot%\System32\pla.dll
ET715MSY,Classes\CLSID\{FBA89535-BFAB-4EF7-804C-109186BF507B}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{FBA89535-BFAB-4EF7-804C-109186BF507B}\InProcServer32\,%SystemRoot%\System32\NaturalLanguage6.dll
ET715MSY,Classes\CLSID\{C0B35746-EBF5-11D8-BBE9-505054503030}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{C0B35746-EBF5-11D8-BBE9-505054503030}\InProcServer32\,%SystemRoot%\system32\ndproxystub.dll
ET715MSY,Classes\CLSID\{2A7B042D-578A-4366-9A3D-154C0498458E}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{2A7B042D-578A-4366-9A3D-154C0498458E}\InProcServer32\,C:\Windows\System32\mscoree.dll
ET715MSY,Classes\CLSID\{FD6F2917-326E-405B-8B10-DC93A013A73B}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{FD6F2917-326E-405B-8B10-DC93A013A73B}\InProcServer32\,C:\Windows\System32\CryptoWinRT.dll
ET715MSY,Classes\CLSID\{AA70DDF4-E11C-11D1-ABB0-00C04FD9159E}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{AA70DDF4-E11C-11D1-ABB0-00C04FD9159E}\InProcServer32\,%SystemRoot%\system32\wbem\viewprov.dll
ET715MSY,CurrentControlSet\Services\EntAppSvc\Parameters\,REG_EXPAND_SZ,ServiceDll,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\EntAppSvc\Parameters\ServiceDll,%SystemRoot%\system32\EnterpriseAppMgmtSvc.dll
ET715MSY,Classes\CLSID\{864A1288-354C-4D19-9D68-C2742BB14997}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{864A1288-354C-4D19-9D68-C2742BB14997}\InProcServer32\,%SystemRoot%\system32\shell32.dll
ET715MSY,Classes\CLSID\{03012959-F4F6-44D7-9D09-DAA087A9DB57}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{03012959-F4F6-44D7-9D09-DAA087A9DB57}\InProcServer32\,%SystemRoot%\system32\windowscodecs.dll
ET715MSY,Classes\CLSID\{8d14113b-5715-4714-8a20-69fc343626de}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{8d14113b-5715-4714-8a20-69fc343626de}\InProcServer32\,%SystemRoot%\system32\propsys.dll
ET715MSY,Classes\CLSID\{e916b6b2-22bd-4afc-b337-d3d9fb27670e}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{e916b6b2-22bd-4afc-b337-d3d9fb27670e}\InProcServer32\,%SystemRoot%\System32\audioeng.dll
ET715MSY,CurrentControlSet\Services\Synth3dVsc\,REG_EXPAND_SZ,ImagePath,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\Synth3dVsc\ImagePath,\SystemRoot\System32\drivers\Synth3dVsc.sys
ET715MSY,Classes\CLSID\{B0DDD260-9E44-4bf2-8602-6D9CE1D0B94F}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{B0DDD260-9E44-4bf2-8602-6D9CE1D0B94F}\InProcServer32\,%SystemRoot%\system32\ucmhc.dll
ET715MSY,Classes\CLSID\{7AE7416D-AD97-4A4B-B5AC-B3CA7865AFBE}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{7AE7416D-AD97-4A4B-B5AC-B3CA7865AFBE}\InProcServer32\,%SystemRoot%\System32\NaturalLanguage6.dll
ET715MSY,Classes\CLSID\{08762EA6-B6EF-45FB-B0A5-2F940A849E12}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{08762EA6-B6EF-45FB-B0A5-2F940A849E12}\InProcServer32\,%SystemRoot%\system32\SettingSyncCore.dll
ET715MSY,Classes\CLSID\{793239d0-2bed-4e9a-a276-0c8bf918c42e}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{793239d0-2bed-4e9a-a276-0c8bf918c42e}\InProcServer32\,C:\Windows\System32\UserDeviceRegistration.Ngc.dll
ET715MSY,Wow6432Node\Classes\CLSID\{70f98452-3c38-4271-8e76-6f444852ebc8}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Wow6432Node\Classes\CLSID\{70f98452-3c38-4271-8e76-6f444852ebc8}\InProcServer32\,C:\Windows\SysWOW64\PortableDeviceWiaCompat.dll
ET715MSY,Classes\CLSID\{20cd9315-87d0-40b4-b925-0a8f208e1f8d}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{20cd9315-87d0-40b4-b925-0a8f208e1f8d}\InProcServer32\,C:\Windows\System32\IME\IMEKR\imkrapi.dll
ET715MSY,Classes\CLSID\{CD3AFA9B-B84F-48F0-9393-7EDC34128127}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{CD3AFA9B-B84F-48F0-9393-7EDC34128127}\InProcServer32\,%SystemRoot%\system32\wmp.dll
ET715MSY,Software\Microsoft\Windows\CurrentVersion\Run\,REG_SZ,OneDriveSetup,NT AUTHORITY\SYSTEM,HKEY_USERS\S-1-5-20\Software\Microsoft\Windows\CurrentVersion\Run\OneDriveSetup,C:\Windows\SysWOW64\OneDriveSetup.exe /thfirstsetup
ET715MSY,Classes\CLSID\{66a1c746-b147-43b8-8d08-a2657bebbe8f}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{66a1c746-b147-43b8-8d08-a2657bebbe8f}\InProcServer32\,C:\Windows\System32\oobe\UserOOBE.dll
ET715MSY,CurrentControlSet\Services\TapiSrv\Parameters\,REG_EXPAND_SZ,ServiceDll,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\TapiSrv\Parameters\ServiceDll,%SystemRoot%\System32\tapisrv.dll
ET715MSY,Classes\CLSID\{92dbad9f-5025-49b0-9078-2d78f935e341}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{92dbad9f-5025-49b0-9078-2d78f935e341}\InProcServer32\,C:\Windows\System32\inetcomm.dll
ET715MSY,Wow6432Node\Classes\CLSID\{a463fcb9-6b1c-4e0d-a80b-a2ca7999e25d}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Wow6432Node\Classes\CLSID\{a463fcb9-6b1c-4e0d-a80b-a2ca7999e25d}\InProcServer32\,C:\Windows\SysWOW64\smartscreenps.dll
ET715MSY,Classes\CLSID\{49EBD8BE-1A92-4A86-A651-70AC565E0FEB}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{49EBD8BE-1A92-4A86-A651-70AC565E0FEB}\InProcServer32\,%SystemRoot%\System32\TelephonyInteractiveUser.dll
ET715MSY,Classes\CLSID\{9DE85094-F71F-44f1-8471-15A2FA76FCF3}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{9DE85094-F71F-44f1-8471-15A2FA76FCF3}\InProcServer32\,%CommonProgramFiles%\Microsoft Shared\Ink\InkObj.dll
ET715MSY,Classes\CLSID\{4B905E0F-8E31-4853-BA9F-9BE581A35535}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{4B905E0F-8E31-4853-BA9F-9BE581A35535}\InProcServer32\,C:\Windows\System32\InputInjectionBroker.dll
ET715MSY,Classes\CLSID\{2b8f8a9e-51b6-46db-9d45-ffb33e023823}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{2b8f8a9e-51b6-46db-9d45-ffb33e023823}\InProcServer32\,C:\Windows\System32\HdcpHandler.dll
ET715MSY,Classes\CLSID\{13709620-C279-11CE-A49E-444553540000}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{13709620-C279-11CE-A49E-444553540000}\InProcServer32\,%SystemRoot%\system32\shell32.dll
ET715MSY,Classes\CLSID\{af9d2278-060f-4a17-99a9-5044f7f843a8}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{af9d2278-060f-4a17-99a9-5044f7f843a8}\InProcServer32\,C:\Windows\System32\IME\shared\imjkapi.dll
ET715MSY,Classes\CLSID\{9EBE7B1C-29B4-457A-A4FF-2883604805E0}\InProcServer32,REG_SZ,,BUILTIN\Administrators,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{9EBE7B1C-29B4-457A-A4FF-2883604805E0}\InProcServer32\,c:\PROGRA~1\COMMON~1\mcafee\VSCORE~2\vscver.dll
ET715MSY,CurrentControlSet\Services\ufxsynopsys\,REG_EXPAND_SZ,ImagePath,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\ufxsynopsys\ImagePath,\SystemRoot\System32\drivers\ufxsynopsys.sys
ET715MSY,Wow6432Node\Classes\CLSID\{5220cb21-c88d-11cf-b347-00aa00a28331}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Wow6432Node\Classes\CLSID\{5220cb21-c88d-11cf-b347-00aa00a28331}\InProcServer32\,C:\Windows\SysWOW64\licmgr10.dll
ET715MSY,Classes\CLSID\{FAC1D9C0-0296-11D1-A840-00A0C92C9D5D}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{FAC1D9C0-0296-11D1-A840-00A0C92C9D5D}\InProcServer32\,%SystemRoot%\System32\dmdskmgr.dll
ET715MSY,Wow6432Node\Classes\CLSID\{cba9e78b-49a3-49ea-93d4-6bcba8c4de07}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Wow6432Node\Classes\CLSID\{cba9e78b-49a3-49ea-93d4-6bcba8c4de07}\InProcServer32\,C:\Windows\SysWOW64\mp43decd.dll
ET715MSY,Wow6432Node\Classes\CLSID\{a842a6e3-2bac-436f-bb7e-5645f65c01fc}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Wow6432Node\Classes\CLSID\{a842a6e3-2bac-436f-bb7e-5645f65c01fc}\InProcServer32\,C:\Windows\SysWOW64\LicenseManager.dll
ET715MSY,Classes\CLSID\{bde9ee7c-329f-4fcf-ba7a-f8c6e9b4579d}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{bde9ee7c-329f-4fcf-ba7a-f8c6e9b4579d}\InProcServer32\,%SystemRoot%\system32\shell32.dll
ET715MSY,Classes\CLSID\{B8C54ECD-6BCE-4664-8DFD-016B751870D0}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{B8C54ECD-6BCE-4664-8DFD-016B751870D0}\InProcServer32\,C:\Windows\System32\SrhInproc.dll
ET715MSY,Classes\CLSID\{A530D54A-DBA0-4b17-9F99-51A7A2CC17CA}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{A530D54A-DBA0-4b17-9F99-51A7A2CC17CA}\InProcServer32\,C:\Windows\System32\TetheringSettingHandler.dll
ET715MSY,Classes\CLSID\{94971F89-D2EB-44ED-A217-A9BF27B74B65}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{94971F89-D2EB-44ED-A217-A9BF27B74B65}\InProcServer32\,C:\Windows\System32\twinapi.dll
ET715MSY,Classes\CLSID\{BC08386A-9952-40CD-BA50-9541D64A4B4E}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{BC08386A-9952-40CD-BA50-9541D64A4B4E}\InProcServer32\,C:\Windows\System32\portabledeviceclassextension.dll
ET715MSY,Classes\CLSID\{D8013EEF-730B-45E2-BA24-874B7242C425}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{D8013EEF-730B-45E2-BA24-874B7242C425}\InProcServer32\,C:\Windows\System32\mscoree.dll
ET715MSY,Wow6432Node\Classes\CLSID\{E98B8DC5-72E3-48E4-A4BC-9393F3EA0DA5}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Wow6432Node\Classes\CLSID\{E98B8DC5-72E3-48E4-A4BC-9393F3EA0DA5}\InProcServer32\,C:\Windows\SysWOW64\Windows.Management.Workplace.dll
ET715MSY,Classes\CLSID\{ef1c0450-0b48-4384-94ae-d1cb35641f86}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{ef1c0450-0b48-4384-94ae-d1cb35641f86}\InProcServer32\,%SystemRoot%\system32\shell32.dll
ET715MSY,Classes\CLSID\{04DA8451-7F63-4870-A4D7-F55BE66BFDFB}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{04DA8451-7F63-4870-A4D7-F55BE66BFDFB}\InProcServer32\,%SystemRoot%\System32\NaturalLanguage6.dll
ET715MSY,Classes\CLSID\{d284acc0-ceed-46cc-9484-38709e695510}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{d284acc0-ceed-46cc-9484-38709e695510}\InProcServer32\,C:\Windows\System32\IME\IMEJP\imjpranker.dll
ET715MSY,Classes\CLSID\{937C1A34-151D-4610-9CA6-A8CC9BDB5D83}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{937C1A34-151D-4610-9CA6-A8CC9BDB5D83}\InProcServer32\,%CommonProgramFiles%\Microsoft Shared\Ink\InkObj.dll
ET715MSY,Classes\CLSID\{F5078F27-C551-11D3-89B9-0000F81FE221}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{F5078F27-C551-11D3-89B9-0000F81FE221}\InProcServer32\,%SystemRoot%\System32\msxml3.dll
ET715MSY,Classes\CLSID\{E30629D1-27E5-11CE-875D-00608CB78066}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{E30629D1-27E5-11CE-875D-00608CB78066}\InProcServer32\,C:\Windows\System32\quartz.dll
ET715MSY,Classes\CLSID\{c3d48774-5f69-4580-b51b-5020c2b4aec2}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{c3d48774-5f69-4580-b51b-5020c2b4aec2}\InProcServer32\,C:\Windows\System32\Windows.UI.Immersive.dll
ET715MSY,Classes\CLSID\{95688ffa-250d-49bd-b40a-8ed3a8ef4c8e}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{95688ffa-250d-49bd-b40a-8ed3a8ef4c8e}\InProcServer32\,C:\Windows\System32\IME\IMEKR\imkrapi.dll
ET715MSY,Wow6432Node\Classes\CLSID\{4C6470A6-3F91-4f41-850B-DB9BCD074537}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Wow6432Node\Classes\CLSID\{4C6470A6-3F91-4f41-850B-DB9BCD074537}\InProcServer32\,C:\Windows\SysWOW64\msfeedsbs.dll
ET715MSY,Classes\CLSID\{C4C4C4F2-0049-4E2B-98FB-9537F6CE516D}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{C4C4C4F2-0049-4E2B-98FB-9537F6CE516D}\InProcServer32\,C:\Windows\System32\EncDec.dll
ET715MSY,Classes\CLSID\{24CA8AEF-F6D8-4732-8DB5-9D83EFD8CFBC}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{24CA8AEF-F6D8-4732-8DB5-9D83EFD8CFBC}\InProcServer32\,%SystemRoot%\System32\oobe\msoobedui.dll
ET715MSY,Classes\CLSID\{3A614B00-FB18-46F3-950E-682A46A48B9F}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{3A614B00-FB18-46F3-950E-682A46A48B9F}\InProcServer32\,%SystemRoot%\System32\UICOM.dll
ET715MSY,Classes\CLSID\{BB530C63-D9DF-4B49-9439-63453962E598}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{BB530C63-D9DF-4B49-9439-63453962E598}\InProcServer32\,C:\Windows\System32\msvidctl.dll
ET715MSY,Wow6432Node\Classes\CLSID\{1E929228-A702-4239-8780-6DB6D1D83E6B}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Wow6432Node\Classes\CLSID\{1E929228-A702-4239-8780-6DB6D1D83E6B}\InProcServer32\,C:\Windows\SysWOW64\Windows.Devices.Printers.dll
ET715MSY,CurrentControlSet\Services\CompositeBus\,REG_EXPAND_SZ,ImagePath,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\CompositeBus\ImagePath,\SystemRoot\System32\DriverStore\FileRepository\compositebus.inf_amd64_a140581a8f8b58b7\CompositeBus.sys
ET715MSY,CurrentControlSet\Services\WpnService\Parameters\,REG_EXPAND_SZ,ServiceDll,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\WpnService\Parameters\ServiceDll,%SystemRoot%\system32\WpnService.dll
ET715MSY,Classes\CLSID\{FA10746C-9B63-4b6c-BC49-FC300EA5F256}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{FA10746C-9B63-4b6c-BC49-FC300EA5F256}\InProcServer32\,C:\Windows\System32\evr.dll
ET715MSY,Classes\CLSID\{ebe53edd-8816-43b2-9c4f-47c7e2e2fb3b}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{ebe53edd-8816-43b2-9c4f-47c7e2e2fb3b}\InProcServer32\,%SystemRoot%\System32\exsmime.dll
ET715MSY,CurrentControlSet\Services\usbser\,REG_EXPAND_SZ,ImagePath,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\usbser\ImagePath,\SystemRoot\System32\drivers\usbser.sys
ET715MSY,Classes\CLSID\{fe081f7f-67dc-4f4e-a74a-d6555cdc8efb}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{fe081f7f-67dc-4f4e-a74a-d6555cdc8efb}\InProcServer32\,%SystemRoot%\System32\wpnapps.dll
ET715MSY,Classes\CLSID\{0B1C8EE2-4E12-496F-BA37-D7337B90FB4B}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{0B1C8EE2-4E12-496F-BA37-D7337B90FB4B}\InProcServer32\,C:\Windows\System32\Windows.Devices.Portable.dll
ET715MSY,Classes\CLSID\{7EB5FBE4-2100-49E6-8593-17E130122F91}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{7EB5FBE4-2100-49E6-8593-17E130122F91}\InProcServer32\,%SystemRoot%\system32\shell32.dll
